160	160	NaN	160	128	96	64	32	0	0	0	0	0	0	NaN	0	NaN	0	34
160	192	192	192	160	128	96	64	32	0	0	0	0	0	0	0	NaN	0	87
NaN	192	224	224	NaN	160	128	96	NaN	32	0	0	0	NaN	0	0	NaN	0	18
160	NaN	224	255	224	192	160	128	96	64	32	0	0	0	0	0	NaN	0	156
128	160	NaN	224	255	224	NaN	160	128	96	64	32	0	0	NaN	0	NaN	0	167
96	128	160	192	224	255	224	192	160	128	NaN	64	32	0	0	0	NaN	0	12
NaN	96	128	NaN	192	224	255	224	192	160	128	96	64	32	0	0	NaN	0	56
32	64	96	128	160	192	NaN	255	NaN	192	160	128	96	64	32	0	NaN	0	67
0	32	64	96	128	160	NaN	224	255	224	192	160	128	96	64	32	NaN	200	156
0	0	NaN	64	NaN	128	160	192	224	255	NaN	192	NaN	128	96	64	NaN	128	189
0	0	0	32	64	96	128	160	192	224	255	224	NaN	160	128	NaN	NaN	134	0
0	0	0	0	32	64	96	128	160	192	224	255	224	192	160	128	NaN	180	0
0	0	0	0	0	32	64	96	NaN	160	192	224	255	224	192	160	NaN	230	0
0	NaN	0	0	0	0	32	64	96	128	160	192	224	255	224	192	NaN	178	0
0	0	0	0	0	0	0	32	64	96	128	NaN	192	NaN	255	224	NaN	100	0
0	0	0	0	0	0	0	0	NaN	64	96	128	160	192	224	255	NaN	0	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	189	0
