160	160	NaN	160	128	96	64	32	0	0	0	0	0	0	NaN	0
160	192	192	192	160	128	96	64	32	0	0	0	0	0	0	0
NaN	192	224	224	NaN	160	128	96	NaN	32	0	0	0	NaN	0	0
160	NaN	224	256	224	192	160	128	96	64	32	0	0	0	0	0
128	160	NaN	224	256	224	NaN	160	128	96	64	32	0	0	NaN	0
96	128	160	192	224	256	224	192	160	128	NaN	64	32	0	0	0
NaN	96	128	NaN	192	NaN	NaN	NaN	192	160	128	96	64	32	0	0
32	64	96	128	160	NaN	NaN	NaN	NaN	192	160	128	96	64	32	0
0	32	64	96	128	NaN	NaN	NaN	256	224	192	160	128	96	64	32
0	0	NaN	64	NaN	128	160	192	224	256	NaN	192	NaN	128	96	64
0	0	0	32	64	96	128	160	192	224	256	224	NaN	160	128	NaN
0	0	0	0	32	64	96	128	160	192	224	256	224	192	160	128
0	0	0	0	0	32	64	96	NaN	160	192	224	256	224	192	160
0	NaN	0	0	0	0	32	64	96	128	160	192	224	256	224	192
0	0	0	0	0	0	0	32	64	96	128	NaN	192	NaN	256	224
0	0	0	0	0	0	0	0	NaN	64	96	128	160	192	224	255
0	0	0	0	0	0	0	0	56	178	167	125	225	176	240	178
NaN	0	1	1	NaN	89	10	9	100	99	67	78	89	121	109	149
